,Município [-],PIB per capita - R$ [2021],População no último censo - pessoas [2022]
566,Peçanha,15407.09,17446
567,Pedra Azul,16498.08,24410
568,Pedra Bonita,13480.12,7320
569,Pedra do Anta,19502.49,3311
570,Pedra do Indaiá,29206.43,4112
571,Pedra Dourada,16527.2,2757
572,Pedralva,16460.4,10760
573,Pedras de Maria da Cruz,8900.37,10433
574,Pedrinópolis,55906.67,3344
575,Pedro Leopoldo,29763.4,62580
576,Pedro Teixeira,16778.21,1810
577,Pequeri,18724.66,3351
578,Pequi,19184.76,4155
579,Perdigão,18941.95,12268
580,Perdizes,98918.71,17151
581,Perdões,29060.6,21384
582,Periquito,16574.4,6553
583,Pescador,11054.09,3570
584,Piau,34082.97,2796
585,Piedade de Caratinga,15939.53,8529
586,Piedade de Ponte Nova,15149.65,3976
587,Piedade do Rio Grande,24887.48,4604
588,Piedade dos Gerais,17842.82,5019
589,Pimenta,32326.06,8563
590,Pingo-d'Água,10483.1,4706
591,Pintópolis,9445.44,7084
592,Piracema,47478.8,6700
593,Pirajuba,62212.95,5537
594,Piranga,11347.31,17018
595,Piranguçu,14238.45,6041
596,Piranguinho,15671.86,9120
597,Pirapetinga,59224.34,11077
598,Pirapora,50580.69,55606
599,Piraúba,18697.86,11610
600,Pitangui,26073.15,26685
601,Piumhi,36452.59,36062
602,Planura,46149.3,11145
603,Poço Fundo,23897.47,16390
604,Poços de Caldas,50234.29,163742
605,Pocrane,14686.18,8350
606,Pompéu,36287.11,31047
607,Ponte Nova,35748.11,57776
608,Ponto Chique,12096.62,3747
609,Ponto dos Volantes,10016.81,10883
610,Porteirinha,13931.71,37438
611,Porto Firme,11411.12,10569
612,Poté,10122.67,13666
613,Pouso Alegre,69478.81,152217
614,Pouso Alto,47333.42,6566
615,Prados,25109.69,9048
616,Prata,45907.1,28342
617,Pratápolis,26805.27,8406
618,Pratinha,42299.41,3559
619,Presidente Bernardes,12740.53,4850
620,Presidente Juscelino,13744.52,3465
621,Presidente Kubitschek,12064.56,3071
622,Presidente Olegário,37169.17,18765
623,Alto Jequitibá,15158.56,8397
624,Prudente de Morais,18583.47,11466
625,Quartel Geral,21546.08,3179
626,Queluzito,20557.6,1770
627,Raposos,11738.63,16279
628,Raul Soares,17893.53,23423
629,Recreio,11720.36,11007
630,Reduto,16727.6,7848
631,Resende Costa,17924.97,11230
632,Resplendor,15972.45,17226
633,Ressaquinha,77296.87,4548
634,Riachinho,19338.76,6863
635,Riacho dos Machados,56250.5,8756
636,Ribeirão das Neves,15177.16,329794
637,Ribeirão Vermelho,25941.3,4080
638,Rio Acima,44894.6,10261
639,Rio Casca,17735.11,12789
640,Rio Doce,19723.72,2484
641,Rio do Prado,10293.72,4639
642,Rio Espera,11179.64,5429
643,Rio Manso,19200.76,5568
644,Rio Novo,13398.92,8518
645,Rio Paranaíba,73353.29,14532
646,Rio Pardo de Minas,11082.95,28271
647,Rio Piracicaba,93493.98,14631
648,Rio Pomba,23182.02,17443
649,Rio Preto,12594.6,5141
650,Rio Vermelho,11141.09,12641
651,Ritápolis,19986.09,4994
652,Rochedo de Minas,49137.34,2291
653,Rodeiro,66014.18,8664
654,Romaria,77429.93,3386
655,Rosário da Limeira,14573.75,4734
656,Rubelita,14277.94,5679
657,Rubim,10879.32,10298
658,Sabará,30474.48,129380
659,Sabinópolis,21787.62,14240
660,Sacramento,78738.77,26670
661,Salinas,15942.32,40178
662,Salto da Divisa,18829.72,6110
663,Santa Bárbara,51093.18,30466
664,Santa Bárbara do Leste,13595.98,8458
665,Santa Bárbara do Monte Verde,17510.49,3095
666,Santa Bárbara do Tugúrio,16098.97,4208
667,Santa Cruz de Minas,11867.33,8109
668,Santa Cruz de Salinas,12029.68,3910
669,Santa Cruz do Escalvado,16399.94,4673
